STATION,WLM_GSE
20N01E02H003M,132.34
20N01E18L001M,107.35
20N01E18L002M,107.35
20N01E18L003M,107.35
20N02E09G001M,148.84
20N02E15H001M,144.01
20N02E15H002M,144.12
20N02E16P001M,131.83
20N02E24C001M,157.75
20N02E24C002M,157.75
20N02E24C003M,157.75
20N02W11A001M,125.4
20N02W11A002M,125.4
20N02W11A003M,125.4
20N02W18R005M,131.35
20N02W18R006M,131.38
20N02W18R007M,131.38
20N02W18R008M,131.37
20N02W25F002M,102.2
20N02W25F003M,102.2
20N02W25F004M,102.2
20N02W33B001M,105.41
20N03E31M001M,133.02
20N03E33L001M,151.33
20N03W07E001M,179.17
20N03W07E002M,179.17
20N03W07E003M,179.17
20N03W07E004M,179.17
21N01E08K002M,146.04
21N01E13L002M,179.85
21N01E13L003M,179.85
21N01E13L004M,179.85
21N01E27B001M,149.34
21N01E28F001M,142.35
21N01W05D001M,152.58
21N01W11A001M,129.3
21N01W11A002M,129.3
21N01W11A003M,129.3
21N01W24B001M,127.06
21N01W31H001M,145.48
21N01W35K002M,114.36
21N02E18C001M,189.07
21N02E18C002M,189.07
21N02E18C003M,189.07
21N02E26E003M,182.27
21N02E26E004M,182.26
21N02E26E005M,182.26
21N02E26E006M,182.26
21N02E30L001M,159.33
21N02W01F001M,160.88
21N02W01F002M,160.83
21N02W01F003M,161.84
21N02W01F004M,161.92
21N02W04G002M,178.41
21N02W04G003M,178.41
21N02W04G004M,178.41
21N02W04G005M,178.41
21N02W05M001M,188.93
21N02W05M002M,188.93
21N02W05M003M,188.93
21N02W05M005M,190.62
21N02W25L001M,142.39
21N02W33M001M,149.0
21N02W33M002M,149.0
21N02W33M003M,149.0
21N02W36A001M,135.39
21N02W36A002M,135.39
21N03E32B001M,238.43
21N03W01R002M,203.32
21N03W01R003M,203.53
21N03W23C001M,200.35
21N03W23D001M,204.76
21N03W23D002M,204.76
21N03W23D003M,204.76
21N03W23D004M,205.07
21N03W31R002M,185.46
21N03W31R004M,185.46
21N03W31R005M,185.46
21N03W34Q002M,166.65
21N03W34Q003M,166.65
21N03W34Q004M,166.65
21N04W12A002M,247.88
21N04W12A003M,247.5
21N04W12A004M,247.5
22N01E28J001M,178.87
22N01E32E004M,150.94
22N01E35E001M,182.33
22N01W05M001M,151.48
22N01W19K005M,155.94
22N01W29N001M,146.25
22N01W29N002M,146.25
22N01W29N003M,146.25
22N01W29N004M,146.25
22N02E30C002M,243.63
22N02W01N001M,159.21
22N02W01N002M,159.21
22N02W01N003M,159.21
22N02W01N004M,159.21
22N02W02J001M,164.7
22N02W15C002M,189.3
22N02W15C003M,189.3
22N02W15C004M,189.3
22N02W15C005M,189.3
22N02W18C001M,223.44
22N02W18C002M,223.44
22N02W18C003M,223.44
22N02W18C004M,223.44
22N02W30H002M,202.43
22N02W30H003M,204.43
22N02W30H004M,204.43
22N02W30R001M,207.43
22N03W01R001M,226.04
22N03W01R002M,226.04
22N03W01R003M,226.04
22N03W24E001M,230.51
22N03W24E002M,230.51
22N03W24E003M,230.51
22N03W28P001M,258.22
22N03W28P002M,258.22
22N03W28P003M,258.22
22N04W01A001M,315.0
22N04W01A003M,315.0
23N01W10M001M,187.38
23N01W28M002M,159.02
23N01W28M003M,159.02
23N01W28M004M,159.02
23N01W28M005M,159.02
23N01W31M001M,154.75
23N01W31M002M,154.75
23N01W31M003M,154.75
23N01W31M004M,154.75
23N02W28N001M,202.14
